Gene	COAD_cases	COAD_percent	READ_cases	READ_percent
DOCK11	24	5.60748	5	3.22581
FANCM	24	5.60748	6	3.87097
FLRT2	24	5.60748	9	5.80645
GSE1	24	5.60748	3	1.93548
HIVEP2	24	5.60748	6	3.87097
HTT	24	5.60748	4	2.58065
KCNA5	24	5.60748	5	3.22581
KDM2B	24	5.60748	5	3.22581
KDR	24	5.60748	7	4.51613
KIAA1549L	24	5.60748	5	3.22581
KIF13A	24	5.60748	2	1.29032
LCOR	24	5.60748	4	2.58065
LRFN5	24	5.60748	6	3.87097
LRRK1	24	5.60748	6	3.87097
MCF2	24	5.60748	5	3.22581
MSH6	24	5.60748	6	3.87097
MYH15	24	5.60748	5	3.22581
NCAM1	24	5.60748	6	3.87097
NCAPD3	24	5.60748	2	1.29032
NLGN4X	24	5.60748	6	3.87097
NOS3	24	5.60748	2	1.29032
NPHS1	24	5.60748	5	3.22581
NRK	24	5.60748	8	5.16129
NUP98	24	5.60748	3	1.93548
OSMR	24	5.60748	2	1.29032
PCDHA1	24	5.60748	3	1.93548
PCDHA4	24	5.60748	6	3.87097
PCDHB9	24	5.60748	3	1.93548
PDGFRA	24	5.60748	4	2.58065
PDS5B	24	5.60748	3	1.93548
PHF2	24	5.60748	2	1.29032
PIKFYVE	24	5.60748	6	3.87097
PLCE1	24	5.60748	6	3.87097
PLEKHA6	24	5.60748	2	1.29032
PLXNA2	24	5.60748	5	3.22581
PRDM10	24	5.60748	2	1.29032
PREX1	24	5.60748	6	3.87097
PRPF8	24	5.60748	3	1.93548
PRR12	24	5.60748	2	1.29032
PTCH1	24	5.60748	3	1.93548
PTPRM	24	5.60748	10	6.45161
RGS22	24	5.60748	7	4.51613
SETD2	24	5.60748	8	5.16129
SPECC1	24	5.60748	4	2.58065
SULF1	24	5.60748	7	4.51613
SZT2	24	5.60748	7	4.51613
TMEM132B	24	5.60748	5	3.22581
TSHZ2	24	5.60748	8	5.16129
USP24	24	5.60748	4	2.58065
WNK2	24	5.60748	1	0.645161
WNK3	24	5.60748	7	4.51613
XIRP1	24	5.60748	3	1.93548
ZNF462	24	5.60748	6	3.87097
ZNF646	24	5.60748	5	3.22581
A2M	23	5.37383	7	4.51613
ABCA3	23	5.37383	3	1.93548
ADCY1	23	5.37383	6	3.87097
ADGRB2	23	5.37383	2	1.29032
AHDC1	23	5.37383	1	0.645161
